product_name,price,image_url,video_url
AIR HOCKEY,₹1000,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OWa-g99LwoCGc9l8pfz.jpg,
B/O HAPPY FAMILY DOLL HOUSE,₹1700,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OWG-4Vwp8607nqQ7CFg.jpg,
LEARNING BASKET BALL,₹1150,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OW4sDN_akF6QJk7TmsA.jpg,
MANKU MINI TRENDY WORLD,₹190,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoeOcE9zfSl09uePdwI.jpg,
Gy 2029 MONKEY GOYO,₹125,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoUqIded_EiMRpOPaT0.jpg,
GOYO BIG CONCEPT CAR,₹180,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoQoAxHrRmDeqFa0V83.jpg,
GOYO YJ 388-19 BALL DOG,₹180,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoQluXyJB9XCrVRCSgB.jpg,
TB 515 ANIMAL,₹110,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoPlUFu5t6B_8SWsrmt.jpg,
JC-LCD -31 LCD GEMOTERY,₹70,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoPUkK5xTeHY1qT5ewx.jpg,
KF5 ROPE CHALLENGE CHINA PACK,₹175,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoA7FTKzrHLRGbMmoKs.jpg,
CLEVER MILCH COW,₹110,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Oo4AQqyNlaRdpOKK7Lu.jpg,
5505-1 DIE CAST METAL TRUCK,₹210,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Oo48PPhIo7kOW9aZPs1.jpg,
5504-1 DIE CAST METAL,₹210,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Oo48PPg7gRiBynPAuW4.jpg,
5501-1 DIE CAST METAL,₹210,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Oo48PPfA1YocUyJOEYB.jpg,
FOAM CLAY CHINA,₹24,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Oo-6qZbemq8DokAGJY_.jpg,
919 ROCK BAND,₹150,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Ong27aXBnIXQmGQMRlu.jpg,
TB111 RATTLE,₹125,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OnflK7j04jxA-mWNZfE.jpg,
Kids small trolley beauty,₹195,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-On3RIzKlbGoD1aaHqIV.jpg,
KIDS SMALL TROLLEY TOOLS,₹195,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-On3RFxEf2hokxCTh_Ah.jpg,
KIDS SMALL TROLLEY DOCTOR,₹195,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-On3RE-q5SiwW5WcKnCE.jpg,
TB 997-5 RATTLE,₹175,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Om9dnXfsbAJIlFt_sNy.jpg,
TB 1032 7PC CHU CHU,₹95,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Om9cgySSSaPozaLaqTc.jpg,
TB 1016 CHU CHU TOYS,₹175,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Om9c9NqTzcoc88I8Gqb.jpg,
BIG FUN PIANO ( ELECTRONIC KEYBORD ),₹340,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OTqPAOCMbK3zbsoTwXB.jpg,
DANCING BOY WITH LIGHT & SOUND,₹275,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OTgR234pxqmfSl_4nIR.jpg,
B/O DANCING MONKEY WITH LIGHT & SOUND,₹280,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OTGP4e6vIDBa7H9OlGq.jpg,
WIRELESS VIDEO GAME S10,₹390,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OSsN1onkEac8dc0HKwJ.jpg,
PORTABLE MINI PRINTER,₹490,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OSsLtPqdpiDybaGYuJL.jpg,
12 PC ANIMAL SET,₹330,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OSYjywB6SEre9-Ym0kH.jpg,
B/O GUITAR RABBIT,₹290,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OS8_DPnG_gwHOyFL0ZF.jpg,
DRUM KEYBOARD,₹290,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-ORKoisHfnfw3o7Jn8kU.jpg,
FRICTION METRO,₹390,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-ORKi5USDW4JTDPD5drM.jpg,
MEGNATIC DART MEDIUM SIZE,₹330,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-ORGnV1fS6kTvuAt0Kt6.jpg,
SOFT PROJECTER MIX,₹350,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-ORBc6_BUbAidFxSCZXe.jpg,
